nhm_id,byHRU,byHW,hw_id,byHWobs,level
269,1,0,,0,1
270,1,1,155,1,3
271,1,1,111,1,3
272,1,1,4,0,2
273,1,1,111,1,3
274,1,1,4,0,2
275,1,1,6,1,3
276,1,1,111,1,3
277,1,0,,0,1
278,1,1,111,1,3
279,1,1,111,1,3
280,1,1,114,1,3
281,1,1,111,1,3
282,1,1,155,1,3
283,1,1,111,1,3
284,1,1,111,1,3
285,1,1,113,1,3
286,1,1,12,0,2
287,1,1,6,1,3
288,1,1,155,1,3
289,1,1,155,1,3
290,1,1,113,1,3
291,1,1,114,1,3
292,1,1,111,1,3
293,1,1,114,1,3
294,1,1,111,1,3
295,1,1,113,1,3
296,1,1,155,1,3
297,1,1,113,1,3
298,1,1,111,1,3
299,1,1,113,1,3
300,1,1,155,1,3
301,1,1,113,1,3
302,1,1,111,1,3
303,1,1,111,1,3
304,1,1,56,0,2
305,1,1,111,1,3
306,1,1,111,1,3
307,1,1,113,1,3
308,1,1,111,1,3
309,1,1,111,1,3
310,1,1,111,1,3
311,1,1,113,1,3
312,1,1,4,0,2
313,1,1,111,1,3
314,1,1,111,1,3
315,1,1,8,0,2
316,1,1,4,0,2
317,1,1,9,0,2
318,1,1,113,1,3
319,1,1,155,1,3
320,1,1,111,1,3
321,1,1,114,1,3
322,1,1,9,0,2
323,1,1,155,1,3
324,1,1,109,1,3
325,1,1,109,1,3
326,1,1,111,1,3
327,1,1,114,1,3
328,1,1,113,1,3
329,1,1,109,1,3
330,1,1,113,1,3
331,1,1,113,1,3
332,1,1,9,0,2
333,1,1,109,1,3
334,1,1,113,1,3
335,1,1,113,1,3
336,1,1,109,1,3
337,1,1,56,0,2
338,1,1,113,1,3
339,1,1,111,1,3
340,1,1,113,1,3
341,1,1,155,1,3
342,1,1,56,0,2
343,1,0,,0,1
344,1,1,19,0,2
345,1,1,12,0,2
346,1,1,56,0,2
347,1,1,56,0,2
348,1,1,111,1,3
349,1,1,19,0,2
350,1,1,12,0,2
351,1,1,56,0,2
352,1,1,113,1,3
353,1,1,113,1,3
354,1,1,109,1,3
355,1,1,4,0,2
356,1,1,113,1,3
357,1,1,109,1,3
358,1,1,113,1,3
359,1,0,,0,1
360,1,1,111,1,3
361,1,1,111,1,3
362,1,1,8,0,2
363,1,1,19,0,2
364,1,1,9,0,2
365,1,1,111,1,3
